tick,action,sm_state,pos_x,pos_y
3834,4,RECOVER,3067.5,-4696.5
3835,4,RECOVER,3067.5,-4696.5
3836,4,RECOVER,3067.5,-4696.5
3837,4,RECOVER,3067.5,-4696.5
3838,4,RECOVER,3067.5,-4696.5
3839,4,RECOVER,3067.5,-4696.5
3840,1,RECOVER,3067.5,-4696.5
3841,1,RECOVER,3066.9,-4696.0
3842,1,RECOVER,3065.8,-4695.1
3843,1,RECOVER,3064.1,-4693.7
3844,1,RECOVER,3062.0,-4692.0
3845,1,RECOVER,3059.5,-4690.0
3846,1,RECOVER,3056.7,-4688.1
3847,1,RECOVER,3055.7,-4688.0
3848,1,RECOVER,3054.4,-4688.0
3849,1,RECOVER,3052.6,-4688.0
3850,1,RECOVER,3050.5,-4688.0
3851,1,RECOVER,3048.0,-4688.0
3852,1,RECOVER,3045.3,-4688.0
3853,1,RECOVER,3042.3,-4688.0
3854,1,RECOVER,3039.0,-4688.0
3855,4,RECOVER,3035.6,-4688.0
3856,4,RECOVER,3032.5,-4688.0
3857,4,RECOVER,3029.7,-4688.0
3858,4,RECOVER,3027.2,-4688.0
3859,4,RECOVER,3024.9,-4688.0
3860,4,RECOVER,3022.8,-4688.0
3861,4,RECOVER,3020.9,-4688.0
3862,4,RECOVER,3019.2,-4688.0
3863,4,RECOVER,3017.6,-4688.0
3864,4,RECOVER,3016.2,-4688.0
3865,4,RECOVER,3014.9,-4688.0
3866,4,RECOVER,3013.8,-4688.0
3867,4,RECOVER,3012.7,-4688.0
3868,4,RECOVER,3011.8,-4688.0
3869,4,RECOVER,3010.9,-4688.0
3870,1,RECOVER,3010.1,-4688.0
3871,1,RECOVER,3008.6,-4688.1
3872,1,RECOVER,3006.5,-4688.2
3873,1,RECOVER,3003.8,-4688.4
3874,4,RECOVER,3000.6,-4688.6
3875,1,RECOVER,2997.6,-4688.8
3876,1,RECOVER,2994.2,-4689.1
3877,4,RECOVER,2990.3,-4689.5
3878,1,RECOVER,2986.8,-4689.8
3879,4,RECOVER,2982.9,-4690.2
3880,4,TRAVERSE,2979.3,-4690.5
3881,4,TRAVERSE,2976.0,-4690.9
3882,4,TRAVERSE,2973.1,-4691.2
3883,4,TRAVERSE,2970.4,-4691.4
3884,4,TRAVERSE,2968.0,-4691.7
3885,4,TRAVERSE,2965.8,-4691.9
3886,4,TRAVERSE,2963.8,-4692.1
3887,4,TRAVERSE,2962.0,-4692.3
3888,4,TRAVERSE,2960.3,-4692.4
3889,4,TRAVERSE,2958.9,-4692.6
3890,4,TRAVERSE,2957.5,-4692.7
3891,4,TRAVERSE,2956.3,-4692.9
3892,4,TRAVERSE,2955.2,-4693.0
3893,4,TRAVERSE,2954.2,-4693.1
3894,1,TRAVERSE,2953.3,-4693.2
3895,1,TRAVERSE,2952.0,-4693.9
3896,1,TRAVERSE,2950.4,-4695.1
3897,4,TRAVERSE,2948.4,-4696.9
3898,1,TRAVERSE,2946.6,-4698.5
3899,4,TRAVERSE,2944.5,-4700.5
3900,1,TRAVERSE,2942.6,-4702.4
3901,1,TRAVERSE,2940.5,-4704.8
3902,4,TRAVERSE,2938.1,-4707.5
3903,1,TRAVERSE,2936.0,-4710.1
3904,4,TRAVERSE,2933.6,-4713.0
3905,4,TRAVERSE,2931.4,-4715.7
3906,1,TRAVERSE,2929.5,-4718.1
3907,4,TRAVERSE,2928.1,-4720.9
3908,1,TRAVERSE,2928.1,-4721.7
3909,1,TRAVERSE,2928.0,-4723.0
3910,1,TRAVERSE,2928.0,-4724.7
3911,1,TRAVERSE,2928.0,-4726.9
3912,1,TRAVERSE,2928.0,-4729.4
3913,1,TRAVERSE,2928.0,-4732.4
3914,1,TRAVERSE,2928.0,-4735.6
3915,1,TRAVERSE,2928.0,-4739.1
3916,33,TRAVERSE,2928.0,-4742.9
3917,8,TRAVERSE,2928.0,-4746.9
