2026-02-02 15:11:56,463 - INFO - Starting Doom Agent with WAD: DOOM\wads\doom2.wad
2026-02-02 15:11:57,237 - INFO - Game initialized with WAD: DOOM\wads\doom2.wad
2026-02-02 15:11:57,239 - INFO - ============================================================
2026-02-02 15:11:57,239 - INFO - Starting new episode
2026-02-02 15:11:57,239 - INFO - ============================================================
2026-02-02 15:11:57,259 - INFO - Episode started successfully
2026-02-02 15:12:00,699 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:00,766 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:00,828 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:00,885 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:00,940 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:00,999 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,048 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,098 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,153 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,201 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,250 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,306 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,306 - INFO - Step 100: Health=100 Ammo=41 Kills=-162 Enemies=0 Actions=['RIGHT_TURN']
2026-02-02 15:12:01,354 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,409 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,470 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,524 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,570 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,625 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,676 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,724 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,775 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,827 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,882 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:01,941 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,000 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,051 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,099 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,149 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,207 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,257 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,307 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,355 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,356 - INFO - Step 120: Health=100 Ammo=41 Kills=-162 Enemies=0 Actions=['RIGHT_TURN']
2026-02-02 15:12:02,406 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,457 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,510 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,572 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,622 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,674 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,735 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,787 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,836 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,894 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:02,948 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,004 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,053 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,106 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,153 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,209 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,260 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,314 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
